Calendar_date,day_of_week_num,route_id,bus_id,stop_sequence,arrival_delay,dwell_time,travel_time_for_previous_section,scheduled_travel_time,upstream_stop_delay,origin_delay,previous_bus_delay,previous_trip_travel_time,traffic_condition,recurrent_delay,weather,temperature,day_of_week,time_of_day,factor(weather)Light_Rain,factor(weather)Light_Snow,factor(weather)Normal,factor(weather)Rain,factor(weather)Snow,factor(temperature)Cold,factor(temperature)Extra_cold,factor(temperature)Normal,factor(day_of_week)weekday,factor(day_of_week)weekend,factor(time_of_day)Afternoon_peak,factor(time_of_day)Morning_peak,factor(time_of_day)Off-peak
2022-04-07,3,4,41364,10,-10,20,35,118,-14,39,157,103,107.666664,110.15504,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-02-02,2,4,45530,13,49,78,60,107,-5,10,196,83,88.0,85.638885,Light Snow,Extra cold,weekday,OP,0,1,0,0,0,0,1,0,1,0,0,0,1
2022-03-09,2,4,41355,6,153,28,199,52,127,29,153,48,45.0,55.163265,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-19,1,4,44417,21,-7,29,41,108,27,42,239,55,55.666668,58.583942,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-14,3,4,45541,6,150,48,107,52,78,47,155,61,59.333332,53.30081,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-10,0,4,41353,8,99,23,59,97,108,19,158,66,76.666664,74.1,Normal,Cold,weekday,MP,0,0,1,0,0,1,0,0,1,0,0,1,0
2022-04-06,2,4,44064,23,78,19,40,50,67,27,214,38,39.0,36.464287,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-11,0,4,41362,5,69,29,132,138,50,31,94,135,113.333336,121.353745,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-14,3,4,41376,3,-19,21,45,82,-1,28,239,43,40.666668,47.837208,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-20,2,4,41369,6,187,41,108,52,115,41,138,47,47.0,51.27612,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-17,0,4,45542,15,-79,66,78,108,-93,31,135,73,66.666664,55.52381,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-06-22,2,4,41726,26,88,18,33,73,79,26,192,51,55.666668,58.889572,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-06-24,4,4,45536,5,71,39,96,104,64,88,98,89,87.0,119.829094,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-13,4,4,44414,25,19,35,92,69,-10,53,303,44,45.333332,45.741177,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-29,1,4,41359,13,125,67,36,95,63,73,96,94,92.666664,92.65131,Normal,Cold,weekday,MP,0,0,1,0,0,1,0,0,1,0,0,1,0
2022-05-17,1,4,41731,25,10,39,86,69,-13,104,270,55,44.666668,44.87838,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-02-19,5,4,41343,14,-10,17,123,139,35,52,304,110,114.0,106.05357,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-04-27,2,4,44057,25,-98,42,79,69,-107,51,337,33,44.666668,44.305264,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-05-28,5,4,41366,22,-72,0,44,73,-33,26,177,51,46.0,45.657536,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-02-15,1,4,44067,19,37,21,67,69,34,28,99,46,47.0,49.666668,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-05-16,0,4,44086,5,66,30,103,121,-16,11,296,153,121.666664,116.662575,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-05,5,4,45537,7,81,23,67,95,85,-1,99,87,88.333336,68.625,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-01-12,2,4,41345,10,71,35,31,118,51,16,129,92,104.0,113.5,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-06,2,4,44064,6,-28,19,123,60,-61,10,96,76,47.0,56.420456,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-16,5,4,44416,17,136,61,123,93,106,22,215,72,63.666668,69.956894,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-05-16,0,4,41343,17,174,79,77,93,108,47,201,91,80.666664,77.98203,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-02,2,4,45536,14,87,82,78,139,28,2,173,91,105.333336,102.19481,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-20,2,4,45539,11,125,36,114,129,86,29,269,126,110.333336,90.845,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-01,4,4,44082,22,13,0,54,66,19,16,241,40,42.333332,45.409092,Normal,Cold,weekday,OP,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-04-19,1,4,44067,19,87,23,51,69,99,10,284,38,57.0,47.043797,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-24,3,4,45538,17,-20,51,80,108,-24,16,235,90,62.333332,85.666664,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-01-26,2,4,44059,9,-58,46,66,66,-74,0,143,35,32.333332,38.39394,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-22,4,4,41364,23,-65,19,52,60,-60,10,333,45,44.666668,40.75,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-15,5,4,41351,15,33,27,110,87,42,33,142,58,53.333332,56.375,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-10,3,4,41729,12,40,25,82,107,86,6,230,58,42.0,47.66265,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-06-09,3,4,44064,5,158,25,111,104,132,31,218,92,83.666664,100.786766,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-09,0,4,41369,8,20,0,68,116,61,14,314,59,80.0,85.3169,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-19,3,4,45532,5,103,58,77,121,50,38,106,89,113.666664,115.40362,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-25,1,4,41357,2,13,60,154,90,-19,7,100,60,48.0,57.342857,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-22,5,4,44064,7,157,17,103,95,142,27,178,77,76.333336,70.71429,Normal,Extra cold,weekend,OP,0,0,1,0,0,0,1,0,0,1,0,0,1
2022-04-29,4,4,41368,7,18,57,35,127,20,29,204,82,69.333336,74.7305,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-12,5,4,45542,6,0,22,101,52,-8,9,152,32,51.0,50.588234,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-05-04,2,4,41725,1,-33,0,0,180,8,8,119,151,147.33333,163.65,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-13,6,4,41371,24,88,17,44,115,109,4,219,85,82.333336,79.95122,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-04-21,3,4,41374,15,150,52,87,75,127,20,248,44,46.333332,50.16346,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-02-12,5,4,41366,14,37,31,93,124,25,11,234,100,113.666664,108.79245,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-21,0,4,41363,8,20,16,82,135,71,37,167,111,79.0,86.54082,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-03,3,4,44063,4,42,26,43,125,54,7,92,103,94.0,97.93104,Normal,Cold,weekday,OP,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-05-09,0,4,45541,14,27,31,84,139,32,30,91,79,85.666664,94.432434,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-02,2,4,41351,17,34,90,95,93,-61,11,153,98,81.333336,81.948715,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-27,4,4,45529,17,-10,92,93,93,-66,20,252,193,134.33333,84.048645,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-19,1,4,44413,5,7,26,202,138,-2,27,130,104,110.0,124.50802,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-23,5,4,44415,22,68,14,44,58,73,19,150,45,43.666668,40.446156,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-05-23,0,4,45532,27,77,22,82,147,154,21,170,42,46.333332,50.748917,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-02-07,0,4,41725,22,47,11,54,89,85,64,176,54,55.333332,60.581818,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-17,6,4,41357,5,47,28,72,104,45,17,126,100,99.666664,92.23333,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-05-05,3,4,45534,8,64,23,80,135,84,40,219,128,107.0,90.943665,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-05-07,5,4,41733,7,133,38,61,95,89,17,131,58,68.666664,68.71774,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-28,0,4,41374,1,-12,0,0,180,11,11,136,287,216.66667,171.05455,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-09,2,4,45531,9,-15,63,70,66,-48,16,108,33,37.333332,41.340908,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-24,0,4,45533,7,11,31,62,112,31,28,208,86,75.333336,75.0,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-16,2,4,41353,24,-15,13,39,149,16,27,108,95,88.666664,93.63636,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-27,2,4,41348,18,161,94,91,87,66,83,243,151,124.333336,85.66082,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-26,1,4,41362,22,-26,11,77,81,-11,68,223,36,46.0,60.17857,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-16,5,4,45539,2,35,47,193,75,28,15,89,50,46.666668,54.49618,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-04,4,4,44056,20,0,51,45,111,17,46,94,50,50.666668,52.092106,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-27,4,4,45534,8,-20,18,95,155,16,8,178,109,98.333336,98.835976,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-06-15,2,4,41730,23,-23,18,134,65,-23,41,162,69,48.0,42.40404,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-25,4,4,41377,6,60,31,105,52,46,8,94,89,54.333332,55.271427,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-26,2,4,41352,21,-17,22,44,88,8,13,135,54,51.666668,51.105263,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-06-07,1,4,41733,16,-37,25,52,159,-5,45,164,129,120.666664,113.41799,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-08,1,4,44414,15,-6,40,81,87,-11,12,245,54,47.666668,51.03846,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-25,2,4,41375,4,-15,22,51,188,38,-2,229,111,123.0,124.55385,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-10,0,4,45532,19,12,21,58,69,-2,10,105,51,45.333332,42.0,Normal,Cold,weekday,OP,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-05-23,0,4,44065,17,113,102,145,93,29,27,231,93,76.666664,77.93714,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-31,3,4,45530,5,73,41,184,138,29,10,106,122,147.0,123.29091,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-23,0,4,41362,15,-9,32,106,97,3,21,151,62,57.666668,57.22286,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-12,5,4,41344,5,231,29,100,104,133,149,155,139,109.666664,107.560974,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-02-14,0,4,41364,21,57,33,92,127,102,56,212,84,62.0,65.26761,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-29,4,4,45530,13,-4,47,29,95,-44,15,285,67,66.333336,84.25,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-13,4,4,44413,11,35,24,102,146,61,56,151,92,98.0,74.94444,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-23,6,4,41367,11,50,15,98,129,53,16,210,80,68.666664,66.90323,Normal,Cold,weekend,OP,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-05-19,3,4,41362,6,27,37,102,68,-6,24,236,61,55.333332,54.14354,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-01-27,3,4,44059,13,8,64,57,82,-29,4,152,60,64.333336,71.1579,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-12,1,4,41377,13,39,83,43,107,4,32,271,105,83.666664,89.34306,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-05-19,3,4,41734,15,12,47,122,97,-6,50,267,75,62.333332,55.307053,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-03-07,0,4,41366,2,16,44,167,75,-2,11,242,50,46.666668,50.816902,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-22,5,4,41730,13,179,18,45,95,109,54,240,90,94.0,93.84615,Normal,Cold,weekend,OP,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-06-28,1,4,44059,2,70,47,138,60,41,23,174,42,45.666668,47.116882,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-05,5,4,44062,15,50,14,122,87,67,18,235,49,52.0,56.18421,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-24,3,4,41366,21,-90,38,44,108,-67,-6,142,53,75.333336,66.89431,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-08,4,4,41734,2,66,107,147,75,-10,23,155,49,50.333332,55.464,Snow,Normal,weekday,AP,0,0,0,0,1,0,0,1,1,0,1,0,0
2022-03-21,0,4,41729,9,3,95,102,66,-63,78,239,32,33.0,40.49618,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-09,2,4,45538,26,125,26,71,81,131,7,158,64,66.0,60.797752,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-12,2,4,44068,12,-38,26,66,107,8,46,98,62,51.0,47.583332,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-11,0,4,44058,18,82,49,75,115,3,24,169,59,96.666664,105.983955,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-20,2,4,41366,25,110,20,90,57,113,29,128,47,45.666668,43.079712,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-12,2,4,41365,7,158,21,70,95,151,43,160,87,73.0,78.55556,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-20,6,4,41376,1,-48,0,0,180,27,27,318,143,140.66667,153.81429,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-01-17,0,4,44410,20,-6,28,45,111,23,20,107,47,57.0,53.42857,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-20,4,4,41368,19,128,25,125,82,134,14,210,40,38.666668,45.46087,Light Rain,Normal,weekday,MP,1,0,0,0,0,0,0,1,1,0,0,1,0
2022-03-07,0,4,41377,6,59,13,115,45,0,13,113,45,68.333336,53.164383,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-26,5,4,41725,25,151,40,73,43,113,23,187,30,33.333332,38.17143,Normal,Cold,weekend,OP,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-01-30,6,4,44415,21,-82,49,39,98,-79,9,276,49,81.666664,60.285713,Light Snow,Cold,weekend,OP,0,1,0,0,0,1,0,0,0,1,0,0,1
2022-04-09,5,4,41726,8,60,63,60,116,55,24,123,79,86.333336,85.509094,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-01-28,4,4,44067,10,68,25,44,118,33,37,106,95,101.333336,115.72727,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-06,6,4,41357,18,155,19,75,87,117,66,278,99,90.333336,83.14286,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-01-15,5,4,44062,18,188,55,54,72,120,-9,159,54,83.0,76.92857,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-02-17,3,4,44067,2,100,49,174,75,72,18,190,52,47.0,47.23256,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-04-13,2,4,45541,4,-30,28,52,188,13,17,119,164,127.666664,123.74074,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-06-23,3,4,44061,20,-68,25,31,111,-41,23,133,125,115.666664,54.80081,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-25,4,4,45541,24,-12,20,36,115,10,14,109,83,89.0,82.14141,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-02-11,4,4,41729,5,73,42,87,138,29,121,126,114,120.666664,128.23529,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-01-22,5,4,44410,8,82,21,68,135,102,19,147,94,77.666664,83.62069,Normal,Cold,weekend,OP,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-02-22,1,4,44064,8,94,23,81,135,68,10,149,71,91.333336,87.30769,Normal,Extra cold,weekday,AP,0,0,1,0,0,0,1,0,1,0,1,0,0
2022-05-07,5,4,41733,4,77,22,44,125,76,8,158,87,86.666664,88.22222,Rain,Normal,weekend,OP,0,0,0,1,0,0,0,1,0,1,0,0,1
2022-03-25,4,4,41374,1,-20,0,0,180,24,24,135,267,161.33333,162.24731,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-22,6,4,41373,1,-14,0,0,180,34,34,156,205,147.33333,148.62296,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-01,1,4,45544,18,26,33,62,87,27,11,201,88,98.666664,80.02631,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-05,3,4,41730,10,56,41,34,135,34,17,267,127,128.0,110.26316,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-09,0,4,41726,23,89,12,59,60,85,18,229,39,39.333332,40.117283,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-06-10,4,4,41728,5,15,18,104,121,8,29,245,152,121.666664,111.41791,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-16,0,4,41343,13,143,72,34,107,92,47,120,91,85.666664,90.09581,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-12,1,4,44410,20,21,23,33,129,86,41,170,51,45.0,60.727272,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-01-26,2,4,41363,11,-21,25,140,146,26,11,129,110,119.333336,95.26316,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-02-14,0,4,41345,26,80,19,41,87,79,15,117,81,64.666664,66.34545,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-04-25,0,4,41376,24,46,17,37,138,88,24,160,91,88.333336,87.889656,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-06-13,0,4,45535,24,147,18,41,138,137,43,219,91,95.666664,92.971886,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-21,4,4,41363,5,128,21,103,104,100,102,156,96,109.0,109.882355,Normal,Cold,weekday,OP,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-05-08,6,4,44066,12,-154,0,70,123,-71,15,326,30,33.666668,41.508476,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-02-17,3,4,44068,18,13,34,85,87,15,10,99,115,74.333336,77.72727,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-28,0,4,45532,21,-94,53,86,108,-100,0,129,63,60.0,64.62963,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-13,4,4,41727,1,-30,0,0,180,23,23,300,162,156.33333,161.34682,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-06-14,1,4,44057,8,71,24,78,135,94,19,210,135,103.666664,88.09135,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-20,3,4,41365,24,-90,27,40,149,-72,7,213,76,83.666664,87.7619,Normal,Cold,weekday,AP,0,0,1,0,0,1,0,0,1,0,1,0,0
2022-05-24,1,4,45545,19,-73,25,45,69,-66,29,151,51,47.0,43.175823,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-01-09,6,4,41352,24,31,21,34,92,28,16,162,69,64.666664,74.4,Normal,Cold,weekend,OP,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-05-19,3,4,41347,4,-81,21,60,188,-41,33,158,76,107.666664,112.6076,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-05-20,4,4,44058,25,-67,63,94,63,-111,33,283,37,44.666668,45.626583,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-12,5,4,41360,13,33,79,28,95,-28,129,109,94,91.666664,88.833336,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-03-23,2,4,44057,16,38,46,60,179,97,82,268,119,110.333336,109.54082,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-03-22,1,4,41361,21,41,20,64,98,54,28,183,61,53.666668,59.161903,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-03-29,1,4,41359,20,142,61,34,111,139,10,224,49,43.333332,48.5,Normal,Extra cold,weekday,OP,0,0,1,0,0,0,1,0,1,0,0,0,1
2022-05-20,4,4,41727,19,82,29,89,69,78,116,301,36,36.666668,46.71348,Normal,Normal,weekday,OP,0,0,1,0,0,0,0,1,1,0,0,0,1
2022-02-05,5,4,44056,14,17,26,83,139,34,8,260,95,107.333336,103.85,Normal,Normal,weekend,OP,0,0,1,0,0,0,0,1,0,1,0,0,1
2022-05-10,1,4,41360,16,-101,35,47,179,-45,6,130,113,117.333336,114.49767,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-06-30,3,4,44412,15,97,32,106,75,88,1,123,63,61.333332,55.21801,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
2022-04-27,2,4,44058,7,-20,27,58,127,15,46,132,85,106.333336,75.04205,Normal,Normal,weekday,MP,0,0,1,0,0,0,0,1,1,0,0,1,0
2022-03-31,3,4,45543,26,-30,21,33,66,-38,18,163,55,53.0,56.0,Normal,Cold,weekday,OP,0,0,1,0,0,1,0,0,1,0,0,0,1
2022-04-19,1,4,44417,13,-27,21,44,107,-24,42,124,125,93.666664,83.78102,Normal,Normal,weekday,AP,0,0,1,0,0,0,0,1,1,0,1,0,0
